Timestamp,Team Name,Have you or your teammates played in VESA Apex before?,"Remind us of your team's previous VESA experience:
Which leagues/seasons have you and your teammates played before?",How familiar are you with Competitive Apex?,What is the collective average end-of-season rank of your team?,What platform(s) does your team play on?,"Do you have any experience outside of VESA playing Competitive Apex (scrims, tournaments, PSQs, CCs, etc)?",We're excited to welcome you to our league! How did you find us?,How familiar are you with Competitive Apex?,What is the collective average end-of-season rank of your team?,What platform(s) does your team play on?,"Do you have any experience outside of VESA playing Competitive Apex (scrims, tournaments, PSQs, CCs, etc)?","Team Captain(s) Discord Username

Team captains will be notified in our Discord server about league-related business such as dropspots. Captains are also the first point of contact for anything specifically concerning your team. You may designate more than one captain if you would like.

If you have not done so already, make sure your captain joins the VESA Discord. 

Note that if you change your discord username (and nickname in our server) constantly, we may be unable to contact you team regarding league participation. If we cannot contact you, your team will not be added to the league.","Additional teammate(s) Discord usernames:

Optional, would recommend including these if your teammates are in the VESA server and would like to be added to a channel specifically for your league.",In game name (Player 1),"Overstat and/or DGS profile (Player 1)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ",In game name (Player 2),"Overstat and/or DGS profile (Player 2)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ",In game name (Player 3),"Overstat and/or DGS profile (Player 3)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ","Any questions?

If you are unsure about anything, include your question(s) here and an admin will reach out to you!"
2024/09/09 1:52:33 PM AST,Nutorious,"1 player returning to VESA, 2 new players",season 7 tendies ,5,Platinum,"Some PC, some console",Yes,,,,,,pandaz809,,pandaz809,https://overstat.gg/player/115802.Pandaz809/overview,xthinkso,https://overstat.gg/player/2150736.xThinkSo%20AA%20was%20overrated%20anyway/overview,jkfireballs,https://overstat.gg/player/1870862.JkFireballs/overview,
2024/09/09 1:52:55 PM AST,trimptations ,All returning to VESA,"pinnacle, vcs",5,Masters+,All PC,Yes,,,,,,imtragiicc,"mepfps, untold_x",imtragiicc ,https://overstat.gg/player/623330.imtragiicc/overview,mepfps,https://overstat.gg/player/65517.Mep/overview,untold,https://overstat.gg/player/195.Untold/overview,
2024/09/09 1:53:19 PM AST,LCDF,All new to VESA,0,5,Masters+,All PC,Yes,,,,,,@itsshunny ,awildabyss,ItsShunny,https://overstat.gg/player/38875.@ItsShunny/overview,abyss,N/A,ArchiveApex,N/A,
2024/09/09 1:53:26 PM AST,Uncut Gems,All returning to VESA,One season in emergent ,4,Diamond,All PC,No,,,,,,HomieClownTown,"Shadicar, Cain",HomieClownTown,https://overstat.gg/player/1621029.HomieClownTown/overview,Shadicar8,https://overstat.gg/player/1621031.Shadicar8/overview,Cain,https://overstat.gg/player/1700343.cain/overview,
2024/09/09 1:54:14 PM AST,Lets Go Gambling!,"2 players returning to VESA, 1 new player",I am Ex-Ascendant from GRO teammates are fresh to comp,4,Gold,All PC,No,,,,,,Oshe,"Stellatrix, Tsai",LGG! Oshe,https://overstat.gg/player/1621070.LGG!%20Oshe/overview,LGG! Tsai,https://overstat.gg/player/2598990.tsai/overview,LGG! Stellatrix,https://overstat.gg/player/1622548.Stellatrix/overview,
2024/09/09 1:54:58 PM AST,Repulse Gaming,All new to VESA,,,,,,Heard about VESA from a friend;X (Twitter),5,Platinum,All console,Yes,Itsnick27,,RG_ItsNick,https://overstat.gg/player/163326.RG_ItsNick/overview,RG Adam10,https://overstat.gg/player/163042.RG%20Adam10/overview,RG_CPTMurph24,https://overstat.gg/player/335638.RG_CPTMurph24/overview,
2024/09/09 1:54:58 PM AST,Code Leaf,All returning to VESA,Ascendant/Emergent/Challengers,5,Platinum,All PC,Yes,,,,,,"Lawlipawp, Tunada",Jinkx,Lawlipawp,https://overstat.gg/player/1374032.Lawlipawp/overview,Fish!,https://overstat.gg/player/1614094.chef%20fish!/overview,Jinkx,https://overstat.gg/player/1614093.Jinkx/overview,Ban Zboy
2024/09/09 1:55:04 PM AST,Noot and Shoot,"1 player returning to VESA, 2 new players",Challengers,4,Platinum,All PC,Yes,,,,,,QueenPenguin,"ChefMike, Chermy",QueenPenguin49,https://overstat.gg/player/1491106.QueenPenguin49%20TTV/overview,ChefMike,https://overstat.gg/player/1374032.ChefMikePlays/overview,Chermy,https://overstat.gg/player/1566063.Chermy58/overview,
2024/09/09 1:55:43 PM AST,TEAM KRONOS,All returning to VESA,VCS AND EMERGANT,5,Diamond,All PC,Yes,,,,,,@DROPT(MODMAN) ,@Supreme @ Zewski,DROPT,https://overstat.gg/player/198010.Dropt/overview,SUPREME,,twelvegage,https://overstat.gg/player/662120.TwelveGage/overview,
2024/09/09 1:55:55 PM AST,Los Bots,All returning to VESA,"2 previous season. 1 in contenders, 1 in Challengers",4,Gold,"Some PC, some console",No,,,,,,Ace,"Abogado, Viva Grad",Viva Acee,https://overstat.gg/player/753386.Viva%20Acee/overview,Viva Grad,https://overstat.gg/player/753387.Viva%20Grad/overview,Abogado,https://overstat.gg/player/897476.abogado/overview,
2024/09/09 1:56:05 PM AST,Bee Happy,1 player returning to VESA,,,,,,Heard about VESA from a friend,3,Platinum,All console,No,Kevin100000,Katelyn0068,Kexis_Arijia,https://overstat.gg/player/2412059.Kexis_Arijia/overview,CheesePuffs1890,https://overstat.gg/player/1434864.CheesePuffs1890/overview,AngryS0da,https://overstat.gg/player/775129.AngryS0da/overview,
2024/09/09 1:56:40 PM AST,TUBL JV,"1 player returning to VESA, 2 new players",1 Returning Player (Eclipse_EH). Played with hells kitchen in season 6 and 7 of VESA. We were contenders regular season winners in Season 7,4,Platinum,All PC,Yes,,,,,,@eclipse_eh,@synth3tk @tommyfronto,Eclipse_EH,https://overstat.gg/player/287978.Eclipse_EH/overview,synth3tk ,https://overstat.gg/player/6108.synth3tk/overview,Tommyfronto,https://overstat.gg/player/455933.tommyfronto/overview,
2024/09/09 1:56:42 PM AST,Lost Lake Boys,All returning to VESA,S7 Challengers,5,Platinum,All PC,No,,,,,,Stinkerson,"railgunsr, hannibalofcarthage",Stinkerson,https://overstat.gg/player/2189329,Lunar,https://overstat.gg/player/2299784,Hannibal of Carthage,https://overstat.gg/player/2237543,
2024/09/09 1:56:49 PM AST,Rude,All new to VESA,,,,,,Heard about VESA from a friend,5,Diamond,"Some PC, some console",Yes,Jus_Gav,"Bookworm669, lejit21",xJusGavx ,Have played comp but no accounts yet. Will make them.,Bookworm669,Have played comp but no accounts yet. Will make them.,Jitty,Have played comp but no accounts yet. Will make them.,We have a coach but I was wondering if he can also act as our sub?
2024/09/09 1:56:50 PM AST,Pink Pony Club,All returning to VESA,Everything league but VCS ,5,Diamond,"Some PC, some console",Yes,,,,,,Taylorzeninja ,"SoleSky, Cosmicstride ",Tay (IGN is always changing so idk what to put here) ,https://overstat.gg/player/307551.Not%20Tay/overview,SoleSky,https://overstat.gg/player/1120381.SoleSky/overview,CosmicStride,https://overstat.gg/player/559917.CosmicStride/overview,
2024/09/09 1:58:08 PM AST,HaloWheelmen,All returning to VESA,"HWM - VCS S7, Asc. S6.  New 3rd (no comp experience)",4,Platinum,All PC,Yes,,,,,,drgn,"tims, katz3nfrau",drgn,https://overstat.gg/player/276190.DRGN/overview,tims,https://overstat.gg/player/276192.Tims/overview,Katz3nfrau,N/A,
2024/09/09 1:59:08 PM AST,The Cult,All returning to VESA,Emergent,5,Diamond,"Some PC, some console",Yes,,,,,,zourafa12,tfghost92 bugg8751,Zourafa12,https://overstat.gg/player/1035913.zourafa12/overview,Indigocross92,https://overstat.gg/player/961161.indigocross92/overview,Laceycs,https://overstat.gg/player/1035914.laceycs/overview,
2024/09/09 1:59:14 PM AST,Greasy Boyz,All returning to VESA,Triple pinn different teams,5,Diamond,All PC,Yes,,,,,,Zboy5z5,"Brode, eidelon7",Zboy5z5,https://overstat.gg/player/749174.Zboy5z5/overview,Brode,https://overstat.gg/player/2212799.BrodE/overview,Eidolon,https://overstat.gg/player/2198882.eidolon/overview,Insert stupid joke here
2024/09/09 2:02:48 PM AST,Scrub Squad,All returning to VESA,"2, 3, 4, 6, 7",5,Bronze,All PC,Yes,,,,,,FreeMelee,Fizzy000,#FreeMelee,,Fizzy000,,Lobotomized,,Ban Zboy fr
2024/09/09 2:03:16 PM AST,The Backyard,All returning to VESA,Contenders- Season 6 and 7,5,Gold,All console,No,,,,,,ehyytt22,moistknight.    bsteph.,ehayes121,https://overstat.gg/player/1621028.ehayes121/overview,MoistKnight2443,https://overstat.gg/player/1621027.MoistKnight2443/overview,Bsteph13,https://overstat.gg/player/2142410.Bsteph13/overview,
2024/09/09 2:04:28 PM AST,Bad Luck Club,All returning to VESA,Challengers S6 & 7,5,Platinum,All PC,Yes,,,,,,ayla__,chaubtw fry_el_wason28,ayla,https://overstat.gg/player/192627.ayla/overview,ChauBTW,https://overstat.gg/player/526915.@chaubtw/overview,fry_el_wason28,https://overstat.gg/player/387312.fry_el_wason28/overview,You're all amazing! <3
2024/09/09 2:09:53 PM AST,StraightOuttaNob,All new to VESA,,,,,,Heard about VESA from a friend,5,Masters+,All PC,Yes,Ramsey#8340,Raze#8790 - Lightning#8751,RAMSEYLUL,https://overstat.gg/player/2058023.RAMSEYLUL/overview,iRazeHell | twitch,https://overstat.gg/player/2058022.iRazeHell%20%7C%20twitch/overview,Lightning,https://overstat.gg/player/2058021.Lightning/overview,
2024/09/09 2:11:15 PM AST,Reales,All new to VESA,,,,,,Heard about VESA from another community,5,Platinum,"Some PC, some console",Yes,Gachu,@RoyRL @Hcmeeks,Gachu,https://overstat.gg/player/1798861.Gachu/overview,Camaleonrosado,https://overstat.gg/player/1975825.camaleonrosado/overview,Hcmeeks,https://overstat.gg/player/1798860.hcmeeks/overview,
2024/09/09 2:12:22 PM AST,Dino Nugs,All returning to VESA,Ascendant S6 and S7,5,Platinum,All PC,Yes,,,,,,Tay,"ClarkGriswold, Pure Chaos",Tay_aka_Tyr,https://overstat.gg/player/91574.Tay_aka/overview,ClarkGriswold,https://overstat.gg/player/195436.ClarkGriswold/overview,Pure Chaos,https://overstat.gg/player/192634.Pure%20Chaos/overview,
2024/09/09 2:17:11 PM AST,Turbo Shandy,All returning to VESA,Season 7 Challengers ,3,Platinum,All PC,Yes,,,,,,WhySoSweaty ,"Splitbomb, JRob",WhySoSweatyy,https://overstat.gg/player/1383023.WhySoSweatyy/overview,Splitbomb33,https://overstat.gg/player/1383012.splitbomb33/overview,JRobx,https://overstat.gg/player/2000349.JRobx/overview,We call dibs on Shape as sub.
2024/09/09 2:21:15 PM AST,Paw Patrol,All new to VESA,,,,,,Heard about VESA from another community,5,Diamond,All PC,Yes,Danksy,wtfitsnotbutter,DanksyFPS,https://overstat.gg/player/1235875.DanksyFPS/overview,Vivarus,https://overstat.gg/player/1260479.Vivarus/overview,Wtfitsnotbutter,https://overstat.gg/player/1260477.Wtfitsnotbutter/overview,
2024/09/09 2:22:13 PM AST,Happy2BeHere,All returning to VESA,Season 7 ascendant,5,Diamond,All PC,Yes,,,,,,TheMauFactor,@Goodlookingsean @Xpliciiiit ,TheMaufactor,https://overstat.gg/player/317145.TheMauFactor/overview,Goodlookingsean,https://overstat.gg/player/290364.@goodlookingsean/overview,Xpliciiiit,https://overstat.gg/player/1352893.Xplicit/overview,
2024/09/09 2:30:15 PM AST,Tractor Beams,All returning to VESA,We were in challengers last season. Some of us have played in challengers or contenders before.,4,Platinum,"Some PC, some console",No,,,,,,"Knightmare411, Monarch5079, RustedSkull",,Knightmare411,https://overstat.gg/player/753390.Knightmare411/overview,Monarch5079,https://overstat.gg/player/1120383.Monarch5079/overview,RustedSkull,https://overstat.gg/player/1198805.RustedSkull/overview,
2024/09/09 2:31:04 PM AST,6th Sense Savagez,All returning to VESA,We Played In Acsendant League ,5,Diamond,All PC,Yes,,,,,,Lustiez Wrld ,,6S Lustiez Wrld ,https://overstat.gg/player/1863451.6S%20Lustiez%20Wrld/overview,6S m0chiggs,https://overstat.gg/player/82449.6S%20m0chiggs/overview,6S Arakari,https://overstat.gg/player/209588.6S_Arakari/overview,
2024/09/09 2:35:45 PM AST,Peacekeepers,All returning to VESA,"Pinnacle, Ascendant",5,Diamond,All PC,No,,,,,,GraffixFPS,Heretic SummerlaneGG,GraffixFPS,https://overstat.gg/player/753161.Graffix/overview,Heretic,https://overstat.gg/player/205283.heret1c/overview,SummerLaneGG,https://overstat.gg/player/25482.SummerLaneGG/overview,
2024/09/09 2:40:23 PM AST,Kingfisher,All returning to VESA,Pinnacle,5,Diamond,All PC,Yes,,,,,,Adamkb22,"xxflyindutchman, deltuh",ha7ch,,xxflyindutchman,,deltuh,,
2024/09/09 2:56:51 PM AST,insomnia,All returning to VESA,vesa league,5,Masters+,All PC,Yes,,,,,,why_envyyy,,why_envy,why_envy,julieantic,julieantic,selenaa2k,selenaa2k,
2024/09/09 3:05:05 PM AST,100 Leaves,All returning to VESA,Ascendant,4,Diamond,All PC,Yes,,,,,,Srgtbuttercups,ntroze,ntroze,ntroze,eddyjr85,eddyjr85,srgtbuttercups,srgtbuttercups,
2024/09/09 3:14:58 PM AST,Kings of Second,All returning to VESA,Contenders S7,4,Gold,All PC,No,,,,,,GITSOL,"AbundantDevice4, TheRealSkrt",GITSOL,https://overstat.gg/player/2299910.GITSOL/overview,AbundantDevice4,https://overstat.gg/player/2299912.AbundantDevice4/overview,TheRealSkrt,https://overstat.gg/player/2299911.TheRealSkrt/overview,
2024/09/09 3:26:29 PM AST,ROQ Nation,All returning to VESA,Pinnacle / Ascendant,5,Diamond,All PC,Yes,,,,,,@ApGuapo / @Rakkideeznuts,@PGK,ApGuapo,https://overstat.gg/player/138807.twitch.tv%2Fapguapo/overview,Rakkideeznuts,https://overstat.gg/player/20570.rakkideeznutz/overview,ActionJakion,https://overstat.gg/player/300941.ActionJakion/overview,
2024/09/09 3:38:42 PM AST,Benchwarmers,"2 players returning to VESA, 1 new player",Pinnicle and Accendent Season 4/5/6,5,Diamond,"Some PC, some console",Yes,,,,,,Zimm,,Zimm,https://overstat.gg/player/897479.Zimm%20(But%20with%20Covid)/overview,Bagel,https://overstat.gg/player/892.Bagel/overview,VertexxTTV,,No question but i will win this season:) great to be back
2024/09/09 3:59:39 PM AST,OWL,All returning to VESA,Contenders league season 7,4,Platinum,All PC,Yes,,,,,,saki201_,"dayarik1 (DaS), urmomlole333 (sir rena)",DaS,https://overstat.gg/player/1183460.Dayarik/overview,sir rena,https://overstat.gg/player/1979119.sir_rena/overview,Saki,https://overstat.gg/player/392271.Saki/overview,
2024/09/09 4:08:33 PM AST,Tiny Timmys,All returning to VESA,"5,6,7 I believe. Maybe 4? -- all contenders",5,Platinum,All console,No,,,,,,denk_jenkinson,"scarab, stonespy",denk_jenkinson,,scarab,,stonespy,,
2024/09/09 4:09:59 PM AST,Havoc Unit,All returning to VESA,S7 Ascendant under the name BTG,4,Platinum,"Some PC, some console",No,,,,,,seeby_,"mattyhens, xrobbob",seeby,https://overstat.gg/player/307263.seeby/overview,Mattyhens,https://overstat.gg/player/1741633.MattyHens/overview,xRobBob,https://overstat.gg/player/307262.xRobBob/overview,
2024/09/09 4:11:31 PM AST,Sweaty Nerds,"1 player returning to VESA, 2 new players","I have played in seasons 5, 6 and season and won season 6 matchpoint.",3,Diamond,All PC,Yes,,,,,,DmanLOC,,Aristhrottle My Cocrates,,cobra the sweaty nerd,,Nerv,,
2024/09/09 4:24:13 PM AST,DMG,All returning to VESA,Contenders/Challengers,5,Diamond,All console,Yes,,,,,,l Belfour l20l#9772,,Fairestone,,Scarecrow,,l Belfour l20l,,
2024/09/09 4:26:30 PM AST,MeHards,All returning to VESA,two seasons in challenger and one in emergent,5,Diamond,"Some PC, some console",No,,,,,,Calbeast,YANKEE 6 XRAY & mj5044,Calbeast,https://overstat.gg/player/1120549.Calbeast/overview,YANKEE 6 XRAY,https://overstat.gg/player/1135294.YANKEE%206%20XRAY/overview,Avsfan1,https://overstat.gg/player/1120548.Avsfan1/overview,
2024/09/09 4:38:53 PM AST,Summer Fling,All new to VESA,,,,,,Heard about VESA from a friend,5,Masters+,All PC,Yes,Draigoo#1525,,Draigo,https://overstat.gg/player/27509.Draigo/overview,fyf,https://overstat.gg/player/105235.fyf/overview,mati,https://overstat.gg/player/214171.mati/overview,
2024/09/09 4:47:40 PM AST,At least we tried,All new to VESA,,,,,,Heard about VESA from a friend,3,Diamond,All PC,Yes,TripleThreatG75,,RG_TRIPLETHREAT75,https://overstat.gg/player/708152.RG_TripleThreat75/overview,KhaoticYang,https://overstat.gg/player/787436.KhaoticYang/overview,Emcy,https://overstat.gg/player/830871.Turtle%20Ass/overview,
2024/09/09 4:49:02 PM AST,Karnage,All returning to VESA,Contenders/Challengers/Emergent,5,Diamond,All console,Yes,,,,,,Karnivorr,,Karnivorrr,https://overstat.gg/player/1120375.Karnivorrr/overview,TheGunner2533,https://overstat.gg/player/1120377.TheGunner2533/overview,Ha1l Rg3,https://overstat.gg/player/1120376.HA1L%20RG3/overview,
2024/09/09 5:00:36 PM AST,The Smirks,All new to VESA,,,,,,Heard about VESA from a friend,4,Diamond,All PC,Yes,@billy_gamesonttv,,Billyãƒ„,,HiLo_TacoTVãƒ„,,leffurts,,"my 3rd teammate is possibly switching, if i need to re submit a sign up form let me know! "
2024/09/09 5:42:15 PM AST,Getting Active,All new to VESA,,,,,,Heard about VESA from a friend,3,Platinum,"Some PC, some console",No,cambot42,zuvich rainyjungle2218,cambot42,,Raz,https://overstat.gg/player/519415.Raz/overview,Rainy,,I didnâ€™t include any comp experience from a place like H&H is that a potential problem? We all came from the H&H server with no other competitive background 
2024/09/09 6:07:37 PM AST,Big Flying Monkeys ,All new to VESA,,,,,,Heard about VESA from a friend,4,Diamond,"Some PC, some console",Yes,BFM OriÃ³n ,"Nickunknown_11, gtem_ace,Josogatito",BFM_Orion,https://overstat.gg/player/1593355.BFM_Orion/overview,GTEM_Ace,https://overstat.gg/player/1593354.GTEM_Ace/overview,BFM Josogatito,https://overstat.gg/player/2426627.Josogatito/overview,I have a sub that will be available at all times. Who do I have to let know if I need a sub? Thank you!
2024/09/09 7:09:10 PM AST,Glue University,All returning to VESA,Ascendant,5,Diamond,All PC,Yes,,,,,,Fayr1e,"Kogu, billienoeyelash",fayr1e,https://overstat.gg/player/2005851.fayr1e/overview,Billienoeyelash,https://overstat.gg/player/991649.billienoeyelash/overview,Kogu,https://overstat.gg/player/1885617.Platinum%20extraction%20professional/overview,Have you ever had a dream you would.... you can't..... you would..... you... you could be anything?
2024/09/09 7:25:24 PM AST,EMG,All returning to VESA,Pinnacle/VCS,5,Diamond,All PC,Yes,,,,,,5avoid,Cudi/ChosenSky,avoid,,Cudi,,ChosenSky,,are you the strongest because youre satoru gojo or are you satoru gojo because youre the strongest
2024/09/09 7:32:26 PM AST,Gravity,All returning to VESA,4th in tendies S4. 20th in challengers S5. 17th in challengers S6. Then I was the worst pinn player in S7,5,Silver,All PC,Yes,,,,,,Viridae ,Cono and Leon,Viridae,In Scotland on a phone. You guys know how shit we are,Cono,,Leon,,"Cono and Leon havenâ€™t touched apex since VESA season 6, and Iâ€™m not good enough to carry them. "
2024/09/09 7:41:19 PM AST,BaM,All returning to VESA,S6 and S7 Challengers,5,Platinum,"Some PC, some console",Yes,,,,,,iRonnoc,"Bam_Clutch , Bam_reavor",iiRonnoc,https://overstat.gg/player/1071412.iiRonnoc/overview,Bam_Clutch,https://overstat.gg/player/1071411.BaM_Clutch/overview,Bam_Reavor,https://overstat.gg/player/1071413.BaM_Reavor/overview,You guys are awesome :)
2024/09/09 7:58:42 PM AST,Glass Cannon ,All returning to VESA,"Emergent Season 7, Challengers Season 6",5,Platinum,All PC,Yes,,,,,,IrishMcNasty ,Showtime ,IrishMcNasty,https://overstat.gg/player/1572441.IrishMcNasty/overview,Showtime,https://overstat.gg/player/1572440.Showtime/overview,NÃ˜KK,https://overstat.gg/player/104964.N%C3%98KK/overview,
2024/09/09 8:02:57 PM AST,Hell's Kitchen,All returning to VESA,Tendies & Challengers,4,Platinum,All PC,Yes,,,,,,AriFGC,"treebear4p, saaaber",Ari?,https://overstat.gg/player/1537644.Ari%3F/overview,TreeBear4p,https://overstat.gg/player/1307462.Treebear4P/overview,Saber,https://overstat.gg/player/21592.SABER/overview,why are vesa admins so cute?
2024/09/09 8:08:01 PM AST,Maet Xepa,All returning to VESA,Season 6 and 7,4,Platinum,"Some PC, some console",Yes,,,,,,find0utt_TTV,absolved,[Access Denied],https://overstat.gg/player/255551.find0utt_TTV/overview,C4 Eeyore,https://overstat.gg/player/1281994.c4%20eeyore/overview,EMP The Proto,https://overstat.gg/player/1003330.EMPTheProto%20%7C%20Twitch/overview,
2024/09/09 10:06:14 PM AST,Chocobo Drift,All returning to VESA,VCS/Pinnacle,4,Diamond,All PC,Yes,,,,,,the_sleeping,"itspenguinii, 0ptical",Sleeping,https://overstat.gg/player/753149.Sleeping/overview,Penguinii,https://overstat.gg/player/753150.Penguinii/overview,0ptical,https://overstat.gg/player/563218.0ptical/overview,
2024/09/09 10:33:03 PM AST,LDG,All new to VESA,,,,,,Heard about VESA from a friend;Heard about VESA from another community,5,Diamond,All PC,Yes,shhnarff,fleminem0313 & cake2236,Shouli,https://overstat.gg/player/1405218.Shouli/overview,officerflshlight,https://overstat.gg/player/1537946.sadpandagang/overview,cake,https://overstat.gg/player/2005986.Cake/overview,
2024/09/09 10:46:59 PM AST,Throat Goats,All new to VESA,,,,,,Apex Admin Discord,4,Diamond,All PC,Yes,Muro8o8 or DannyOhagin,Froooooosh,Ttv Muro8o8,https://overstat.gg/player/75982.ttv%20muro8o8/overview,follow muro8o8 for feet cam,https://overstat.gg/player/81840.follow%20muro8o8%20for%20feet%20cam/overview,COL KIMCHILEE,https://overstat.gg/player/81889.COL%20KIMCHILEE/overview,
2024/09/09 11:50:23 PM AST,Tokyo,All returning to VESA,Pinnacle ,4,Platinum,All PC,Yes,,,,,,Kaido,Prophecy ,Kaido,https://overstat.gg/player/1120566.Toastmaxxxing/overview,Prophecy,https://overstat.gg/player/2221483.Prophecy/overview,Arise,https://overstat.gg/player/554163.not%20mnk%20beast/overview,no quema cuh
2024/09/10 5:04:42 AM AST,nO aIM nO bRAINS,All new to VESA,,,,,,Heard about VESA from another community,4,Diamond,All PC,Yes,secrets7790,Mworkz_ | Twitch chicoflame,Secrets,https://overstat.gg/player/64.KICK.COM%2FSECRETS%20on%20APEX/overview,Mworkz,Na,chicoflame,Na,
2024/09/10 1:10:45 PM AST,F5,All returning to VESA,All Pinn ,5,Masters+,All PC,Yes,,,,,,Mysteryz,,Mysteryz,,Ferris66,,BuddyTrevs,,
2024/09/10 2:30:10 PM AST,2 Meter Squad,All new to VESA,,,,,,Heard about VESA from a friend,5,Platinum,"Some PC, some console",Yes,@Brandino,,BrandinoBrandino,,Iiiiiioopp,,XzDeBiGBear,,
2024/09/10 2:47:29 PM AST,Shizuka,"2 players returning to VESA, 1 new player","Contenders S5, Ascendent S6, Emergent S7",4,Diamond,"Some PC, some console",Yes,,,,,,Dyln ( user: nmedyln ),xZoltraakx ( user: demondidact),nmedyln,Tried to put mine but couldnâ€™t link it on the site. If stats are needed I can submit a picture ,xZoltraakx,,M0tionL0ti0n,,"For the stats, on the site it said their linking process was down and the stats on there werenâ€™t updated correctly. I can send stats if needed "
2024/09/10 2:53:22 PM AST,For The Boys,All new to VESA,,,,,,Heard about VESA from another community,5,Diamond,All PC,Yes,SliceofJAO,"Steph, Hunkulesss",SliceofJAO_Twitch,,Hunkulesss | Twitch,,Dr. Stephasaurus,,
2024/09/10 4:23:26 PM AST,Division 1,All new to VESA,,,,,,Heard about VESA from a friend,3,Diamond,All PC,No,Papa Molly,"Reap, Rasp",Shotgunlicker-yt,,Jack McIntyre,Sewerratttv,Onlylootnoshootkick,,
2024/09/10 4:25:27 PM AST,OMPA,"1 player returning to VESA, 2 new players",Challengers,4,Platinum,All PC,Yes,,,,,,MDeVivo,"BobbyBooshay , PatBeck",MDeVivo,https://overstat.gg/player/176051.MDeVivo/overview,BobbyBooshay,https://overstat.gg/player/455959.BobbyBooshayy/overview,PatBeck ,https://overstat.gg/player/455979.pat/overview,
2024/09/10 5:04:06 PM AST,Batman Begin,All returning to VESA,"Season 6 - Present (Pinnacle, then mostly Ascendant)",5,Diamond,All PC,Yes,,,,,,thejordanruiz,"SuperSandLegend, Boomrazzle",Jhonpii,https://overstat.gg/player/626671.Jhonpii/overview,SuperSandLegend,https://overstat.gg/player/2352453.SuperSandLegend/overview,Boomrazzle,https://overstat.gg/player/580292.Boomrazzle/overview,
2024/09/10 5:15:45 PM AST,Zyntimacy,All returning to VESA,Season 7 Emergent,5,Platinum,All PC,No,,,,,,Enderphor,"Sithopher, EagleUSA",Enderphor,https://overstat.gg/player/2299736.Enderphor/overview,EagleUSA,https://overstat.gg/player/2299737.EagleUSA/overview,Sithopher,https://overstat.gg/player/2299738.Sithopher/overview,
2024/09/10 5:41:13 PM AST,Poor Smoothness,"2 players returning to VESA, 1 new player",Ascendant/Pinnacle,4,Diamond,All PC,Yes,,,,,,yarfy & dunnoU,"yarfy, dunnoU, tso",Yarfy,https://overstat.gg/player/2422372.Yarfy/overview,DunnoU,https://overstat.gg/player/2289682.DunnoU/overview,tso,https://overstat.gg/player/2289683.tso/overview,
