Rank,Player Name,Division,Total Weighted Points,Raw Points,Total Kills,Total Damage,Lobby,Lobby Weight
1,Anteatter,Pinnacle (Highest Skill),408.00,408,92,0,1,1.0
2,LUMI,Pinnacle (Highest Skill),408.00,408,72,0,1,1.0
3,lumdum,Pinnacle (Highest Skill),296.00,296,55,0,1,1.0
4,Dvpaper,Pinnacle (Highest Skill),285.00,285,33,0,1,1.0
5,seeby,Pinnacle (Highest Skill),279.00,279,50,0,1,1.0
6,Gas Daddy,Pinnacle (Highest Skill),278.00,278,21,0,1,1.0
7,Bleachh,Pinnacle (Highest Skill),278.00,278,69,0,1,1.0
8,Lau,Pinnacle (Highest Skill),264.00,264,33,0,1,1.0
9,BrodE,Pinnacle (Highest Skill),258.00,258,58,0,1,1.0
10,twitch.tv/kozmohs,Pinnacle (Highest Skill),255.00,255,68,0,1,1.0
11,DarkApex,Pinnacle (Highest Skill),255.00,255,34,0,1,1.0
12,Dare,Pinnacle (Highest Skill),247.00,247,67,0,1,1.0
13,TNL_Colt,Pinnacle (Highest Skill),246.00,246,63,0,1,1.0
14,OzWaldo,Pinnacle (Highest Skill),246.00,246,47,0,1,1.0
15,LeaderOfTheBees,Pinnacle (Highest Skill),246.00,246,41,0,1,1.0
16,Todo_apex,Pinnacle (Highest Skill),244.00,244,40,0,1,1.0
17,Zboy5z5,Pinnacle (Highest Skill),237.00,237,30,0,1,1.0
18,Zaphyツ,Pinnacle (Highest Skill),232.00,232,56,0,1,1.0
19,Shouli,Pinnacle (Highest Skill),229.00,229,38,0,1,1.0
20,Jakoby,Pinnacle (Highest Skill),227.00,227,28,0,1,1.0
21,xThinkso,Ascendant,209.28,327,35,0,3,0.64
22,AiymAPotato,Ascendant,209.28,327,70,0,3,0.64
23,Dusterbia,Ascendant,209.28,327,67,0,3,0.64
24,A Big Ahh Turd,Pinnacle (Highest Skill),199.00,199,31,0,1,1.0
25,Groliver86,Ascendant,196.48,307,53,0,3,0.64
26,Phoenix.MLNT,Ascendant,188.80,295,57,0,3,0.64
27,NightNight.MLNT,Ascendant,188.80,295,56,0,3,0.64
28,Cezr,Ascendant,187.52,293,41,0,3,0.64
29,An7,Pinnacle (Highest Skill),186.00,186,29,0,1,1.0
30,MOTL Kahzïne,Pinnacle (Highest Skill),186.00,186,42,0,1,1.0
31,Almanymede,Pinnacle (Highest Skill),186.00,186,24,0,1,1.0
32,cudi,Pinnacle (Highest Skill),179.00,179,19,0,1,1.0
33,0ptical,Pinnacle (Highest Skill),179.00,179,27,0,1,1.0
34,mauシ,Pinnacle (Highest Skill),178.00,178,25,0,1,1.0
35,MattyK3NG,Ascendant,177.92,278,24,0,3,0.64
36,KindKitten13,Vanguard,174.40,218,62,0,2,0.8
37,PGK,Pinnacle (Highest Skill),173.00,173,27,0,1,1.0
38,Lastcall,Pinnacle (Highest Skill),171.00,171,27,0,1,1.0
39,spaceman,Pinnacle (Highest Skill),168.00,168,27,0,1,1.0
40,eidolon,Pinnacle (Highest Skill),166.00,166,29,0,1,1.0
41,BigBen1248,Ascendant,165.12,258,53,0,3,0.64
42,Gav.MLNT,Ascendant,163.20,255,42,0,3,0.64
43,GRO gLow,Emergent,161.67,317,82,0,4,0.51
44,Oshe,Emergent,161.67,317,50,0,4,0.51
45,Deetray,Pinnacle (Highest Skill),160.00,160,36,0,1,1.0
46,LAZY3D,Pinnacle (Highest Skill),160.00,160,24,0,1,1.0
47,Jinkx,Ascendant,159.36,249,38,0,3,0.64
48,NØKK,Pinnacle (Highest Skill),159.00,159,26,0,1,1.0
49,Ltto.,Pinnacle (Highest Skill),159.00,159,22,0,1,1.0
50,xXx,Pinnacle (Highest Skill),159.00,159,28,0,1,1.0
51,goodlookingsean,Pinnacle (Highest Skill),158.00,158,25,0,1,1.0
52,ejustice74,Ascendant,152.96,239,32,0,3,0.64
53,ColedColedWorld,Ascendant,152.96,239,39,0,3,0.64
54,ButterMyBreadWB,Vanguard,152.80,191,39,0,2,0.8
55,Omnipotene,Pinnacle (Highest Skill),152.00,152,50,0,1,1.0
56,Pandaz809,Emergent,151.98,298,35,0,4,0.51
57,kat,Emergent,151.98,298,47,0,4,0.51
58,KindlyMonkey,Emergent,151.98,298,83,0,4,0.51
59,Quip,Ascendant,151.68,237,19,0,3,0.64
60,ImSh1ny,Ascendant,151.68,237,52,0,3,0.64
61,Fuzz,Ascendant,151.68,237,29,0,3,0.64
62,Noxums,Vanguard,151.20,189,29,0,2,0.8
63,garbunk,Vanguard,150.40,188,37,0,2,0.8
64,zegion,Vanguard,150.40,188,35,0,2,0.8
65,Bvtterr,Pinnacle (Highest Skill),146.00,146,20,0,1,1.0
66,Crash,Ascendant,145.92,228,44,0,3,0.64
67,AUTHOR,Ascendant,143.36,224,38,0,3,0.64
68,jaundyy666,Vanguard,143.20,179,32,0,2,0.8
69,Mr_Hands_20,Challengers,143.09,349,36,0,5,0.41
70,Hylandbound,Challengers,143.09,349,76,0,5,0.41
71,LVS_Soda,Pinnacle (Highest Skill),142.00,142,31,0,1,1.0
72,LVS_TurtleMan,Pinnacle (Highest Skill),142.00,142,17,0,1,1.0
73,Lawlipawp,Ascendant,141.44,221,36,0,3,0.64
74,SOAK Wobbla,Emergent,137.70,270,30,0,4,0.51
75,FlareNotFlair,Pinnacle (Highest Skill),137.00,137,30,0,1,1.0
76,Double-Take,Vanguard,136.00,170,30,0,2,0.8
77,oalios,Vanguard,135.20,169,16,0,2,0.8
78,MannikTV,Ascendant,134.40,210,38,0,3,0.64
79,Nopes Ropes,Ascendant,133.76,209,55,0,3,0.64
80,ThisIsMig | Twitch,Ascendant,133.76,209,28,0,3,0.64
81,Fartman,Ascendant,133.12,208,44,0,3,0.64
82,Gee_Spree,Ascendant,133.12,208,23,0,3,0.64
83,Frank Newcastle,Challengers,131.20,320,46,0,5,0.41
84,shueisha,Challengers,131.20,320,57,0,5,0.41
85,Skratchd_,Ascendant,130.56,204,53,0,3,0.64
86,Hawkeye2552,Challengers,128.33,313,63,0,5,0.41
87,Draigo,Vanguard,128.00,160,34,0,2,0.8
88,DASLEDGEHAMMER,Pinnacle (Highest Skill),126.00,126,7,0,1,1.0
89,ChosenSky,Pinnacle (Highest Skill),126.00,126,23,0,1,1.0
90,mati,Vanguard,125.60,157,24,0,2,0.8
91,BrandoCommando,Pinnacle (Highest Skill),125.00,125,24,0,1,1.0
92,Epickiller17,Pinnacle (Highest Skill),125.00,125,9,0,1,1.0
93,Goomba on a Roomba,Ascendant,124.80,195,27,0,3,0.64
94,find0utt_TTV,Ascendant,122.88,192,26,0,3,0.64
95,Protogen Pawjob,Ascendant,122.88,192,58,0,3,0.64
96,Kryo,Vanguard,121.60,152,36,0,2,0.8
97,Xiums,Vanguard,121.60,152,26,0,2,0.8
98,Frank Newcastle,Emergent,120.87,237,31,0,4,0.51
99,ESTEFY,Vanguard,119.20,149,30,0,2,0.8
100,MOTL DduckyG,Challengers,118.49,289,33,0,5,0.41
101,FairestOne617,Challengers,118.49,289,83,0,5,0.41
102,Lame A Train,Challengers,118.49,289,57,0,5,0.41
103,Tomboys > Femboys,Vanguard,115.20,144,10,0,2,0.8
104,Haki,Vanguard,115.20,144,18,0,2,0.8
105,TH | winterdeadeye,Ascendant,115.20,180,33,0,3,0.64
106,TwelveGage,Ascendant,115.20,180,29,0,3,0.64
107,Pen5guin,Pinnacle (Highest Skill),115.00,115,15,0,1,1.0
108,Saki <3,Emergent,114.75,225,42,0,4,0.51
109,DaS8157,Emergent,114.75,225,65,0,4,0.51
110,blanK,Vanguard,112.80,141,25,0,2,0.8
111,ジム,Vanguard,112.80,141,29,0,2,0.8
112,旋風,Vanguard,112.80,141,21,0,2,0.8
113,fpsboone,Ascendant,112.64,176,50,0,3,0.64
114,R A P T U R E,Pinnacle (Highest Skill),112.00,112,13,0,1,1.0
115,zCrackdown,Pinnacle (Highest Skill),112.00,112,5,0,1,1.0
116,Regen,Emergent,111.18,218,56,0,4,0.51
117,hatch,Vanguard,110.40,138,34,0,2,0.8
118,bradyvision,Challengers,110.29,269,38,0,5,0.41
119,NickatNi7e,Challengers,110.29,269,67,0,5,0.41
120,XHANABUSER,Vanguard,109.60,137,11,0,2,0.8
121,Cyferzn,Vanguard,109.60,137,24,0,2,0.8
122,MJ5044,Ascendant,109.44,171,7,0,3,0.64
123,Calbeast,Ascendant,109.44,171,21,0,3,0.64
124,YANKEE 6 XRAY,Ascendant,109.44,171,45,0,3,0.64
125,FSU_IamAtomicTV,Challengers,108.65,265,52,0,5,0.41
126,Saaaber,Challengers,108.65,265,53,0,5,0.41
127,Syndicate50,Challengers,108.65,265,41,0,5,0.41
128,Waly,Ascendant,108.16,169,46,0,3,0.64
129,Indy,Ascendant,108.16,169,29,0,3,0.64
130,US-Fakezi,Ascendant,107.52,168,24,0,3,0.64
131,EST Wattzz,Vanguard,107.20,134,18,0,2,0.8
132,indigocross92,Emergent,105.57,207,19,0,4,0.51
133,zourafa12,Emergent,105.57,207,52,0,4,0.51
134,zourafa12,Ascendant,104.32,163,27,0,3,0.64
135,F5 | Stabjackal TTV,Ascendant,104.32,163,8,0,3,0.64
136,TheHeuman,Pinnacle (Highest Skill),103.00,103,9,0,1,1.0
137,TurtlFPS,Vanguard,102.40,128,19,0,2,0.8
138,OniHeishiVT,Emergent,100.98,198,39,0,4,0.51
139,muchmixture9,Emergent,100.98,198,15,0,4,0.51
140,AllieFPS | Twitch,Pinnacle (Highest Skill),100.00,100,13,0,1,1.0
141,waz ee,Pinnacle (Highest Skill),100.00,100,16,0,1,1.0
142,uhPrxzn,Pinnacle (Highest Skill),100.00,100,24,0,1,1.0
143,NØKK,Vanguard,99.20,124,26,0,2,0.8
144,NRG ltto.,Vanguard,99.20,124,14,0,2,0.8
145,xXx,Vanguard,99.20,124,17,0,2,0.8
146,Baughty,Challengers,97.99,239,49,0,5,0.41
147,HaKobo,Challengers,97.99,239,45,0,5,0.41
148,GGMantisToboggan,Challengers,97.99,239,36,0,5,0.41
149,BaM_Clutch,Ascendant,97.92,153,25,0,3,0.64
150,iiRonnoc,Ascendant,97.92,153,30,0,3,0.64
151,J DAWG,Ascendant,97.92,153,27,0,3,0.64
152,chill guy kien,Challengers,97.58,238,30,0,5,0.41
153,F5|GsQ BloomDion,Pinnacle (Highest Skill),97.00,97,16,0,1,1.0
154,m2,Vanguard,96.80,121,8,0,2,0.8
155,amon,Vanguard,96.00,120,28,0,2,0.8
156,Truth,Vanguard,96.00,120,18,0,2,0.8
157,Hobojo,Emergent,95.88,188,35,0,4,0.51
158,weird fishes,Vanguard,95.20,119,27,0,2,0.8
159,Aero,Vanguard,95.20,119,21,0,2,0.8
160,Hova,Challengers,95.12,232,42,0,5,0.41
161,DWE Parcifal,Challengers,95.12,232,43,0,5,0.41
162,goddamnironman,Challengers,95.12,232,32,0,5,0.41
163,DWE Mango,Challengers,94.71,231,43,0,5,0.41
164,ENVYxSkillet,Vanguard,92.80,116,20,0,2,0.8
165,TGUN_Turtle,Vanguard,92.80,116,19,0,2,0.8
166,THEOZINBOY,Pinnacle (Highest Skill),92.00,92,20,0,1,1.0
167,Heret1c,Vanguard,92.00,115,30,0,2,0.8
168,asome005,Challengers,91.43,223,47,0,5,0.41
169,I_am_that_guy_59,Challengers,91.43,223,20,0,5,0.41
170,AmericanMan,Vanguard,91.20,114,10,0,2,0.8
171,Sleeping,Pinnacle (Highest Skill),90.00,90,11,0,1,1.0
172,Penguinii,Pinnacle (Highest Skill),90.00,90,20,0,1,1.0
173,BobbyBooshayy,Emergent,89.76,176,26,0,4,0.51
174,pat,Emergent,89.76,176,34,0,4,0.51
175,Scarab6232,Emergent,89.76,176,18,0,4,0.51
176,StoneSpy946,Emergent,89.76,176,30,0,4,0.51
177,Kevin,Ascendant,88.96,139,42,0,3,0.64
178,ImTheBigFork,Vanguard,88.80,111,24,0,2,0.8
179,Xzavier,Vanguard,88.80,111,27,0,2,0.8
180,BklynzKilla90,Vanguard,88.80,111,22,0,2,0.8
181,Wolfer,Vanguard,88.80,111,27,0,2,0.8
182,Eclipsie13,Vanguard,88.80,111,9,0,2,0.8
183,Gator Needs His Gat,Emergent,88.23,173,35,0,4,0.51
184,twitch.tv/apguapo,Vanguard,88.00,110,40,0,2,0.8
185,imCBITS,Vanguard,87.20,109,25,0,2,0.8
186,Xyrosec,Ascendant,87.04,136,23,0,3,0.64
187,Mysteryz,Pinnacle (Highest Skill),87.00,87,20,0,1,1.0
188,F5 | Big Ab,Pinnacle (Highest Skill),87.00,87,24,0,1,1.0
189,EXL Unordinary ekiM,Vanguard,86.40,108,12,0,2,0.8
190,///Mikey,Ascendant,86.40,135,23,0,3,0.64
191,[Experimental AI Bot]29.319.17,Ascendant,86.40,135,24,0,3,0.64
192,CantGetAway,Pinnacle (Highest Skill),86.00,86,11,0,1,1.0
193,HotKnockz,Pinnacle (Highest Skill),86.00,86,24,0,1,1.0
194,@ArtemisGG_,Emergent,85.17,167,19,0,4,0.51
195,Mootzel,Emergent,84.66,166,37,0,4,0.51
196,FSU_TacticalMyst,Challengers,84.05,205,26,0,5,0.41
197,Graffix,Vanguard,82.40,103,8,0,2,0.8
198,TONYPIKACHU,Vanguard,82.40,103,12,0,2,0.8
199,ZeroGLHF,Vanguard,82.40,103,11,0,2,0.8
200,Unix_IRL,Vanguard,81.60,102,17,0,2,0.8
201,chris k,Pinnacle (Highest Skill),81.00,81,14,0,1,1.0
202,DEKTA_TTV,Vanguard,80.80,101,21,0,2,0.8
203,Exillade,Ascendant,80.00,125,22,0,3,0.64
204,Coveted Yams,Challengers,79.54,194,24,0,5,0.41
205,Eppie,Emergent,79.05,155,18,0,4,0.51
206,boobert,Emergent,78.54,154,44,0,4,0.51
207,Twitch | lAlliegatorl,Vanguard,78.40,98,16,0,2,0.8
208,fyf,Vanguard,78.40,98,14,0,2,0.8
209,waz ee,Vanguard,78.40,98,20,0,2,0.8
210,uhPrxzn,Vanguard,78.40,98,21,0,2,0.8
211,CG BilliardHorn,Emergent,77.52,152,16,0,4,0.51
212,Kolosusx,Emergent,77.01,151,28,0,4,0.51
213,Nedlock ネドロック,Vanguard,76.00,95,17,0,2,0.8
214,:O,Emergent,75.99,149,27,0,4,0.51
215,Kitkat >:),Emergent,75.99,149,25,0,4,0.51
216,Bolbi Stroganovsky,Emergent,75.99,149,22,0,4,0.51
217,TH | BalynceLIVE,Ascendant,75.52,118,31,0,3,0.64
218,s,Vanguard,75.20,94,16,0,2,0.8
219,ehayes121,Challengers,75.03,183,42,0,5,0.41
220,Frogs,Emergent,74.46,146,34,0,4,0.51
221,K1ng13east,Emergent,74.46,146,20,0,4,0.51
222,GRO gLow,Ascendant,74.24,116,18,0,3,0.64
223,Oshe,Ascendant,74.24,116,16,0,3,0.64
224,SOAK Palms,Ascendant,74.24,116,19,0,3,0.64
225,MoistKnight2443,Challengers,74.21,181,24,0,5,0.41
226,Bungus Elite,Emergent,72.42,142,23,0,4,0.51
227,FTB | Hunkulesss,Challengers,72.16,176,27,0,5,0.41
228,FTB | steph,Challengers,72.16,176,24,0,5,0.41
229,ayla,Ascendant,71.68,112,15,0,3,0.64
230,ClarkGriswold,Ascendant,71.68,112,19,0,3,0.64
231,Cherm,Emergent,71.40,140,18,0,4,0.51
232,Karnivorrr,Challengers,70.52,172,17,0,5,0.41
233,TheGunner2533,Challengers,70.52,172,26,0,5,0.41
234,zCrackdown,Vanguard,70.40,88,19,0,2,0.8
235,Majeta23,Vanguard,70.40,88,8,0,2,0.8
236,furryCheese,Vanguard,70.40,88,17,0,2,0.8
237,Frijol3s03,Vanguard,69.60,87,19,0,2,0.8
238,Eddy,Vanguard,69.60,87,10,0,2,0.8
239,F5 | ntROZE,Vanguard,69.60,87,21,0,2,0.8
240,ChefMike,Emergent,69.36,136,26,0,4,0.51
241,el diablo rojo,Ascendant,69.12,108,12,0,3,0.64
242,HecTicAstro,Ascendant,69.12,108,20,0,3,0.64
243,phokkyu,Emergent,68.85,135,14,0,4,0.51
244,Potter,Emergent,68.85,135,42,0,4,0.51
245,SoleSky,Emergent,68.85,135,14,0,4,0.51
246,Pxrmafrxstt,Pinnacle (Highest Skill),68.00,68,10,0,1,1.0
247,Haightful,Ascendant,67.84,106,12,0,3,0.64
248,offkilter,Ascendant,67.84,106,21,0,3,0.64
249,KfroJenner69,Ascendant,67.84,106,20,0,3,0.64
250,Diadem2721|Live,Ascendant,67.84,106,12,0,3,0.64
251,FALN | Stats,Challengers,67.65,165,29,0,5,0.41
252,EagleUSA,Challengers,67.65,165,27,0,5,0.41
253,Sithopher,Challengers,67.65,165,18,0,5,0.41
254,AngryS0da,Emergent,67.32,132,23,0,4,0.51
255,Enderphor,Challengers,67.24,164,44,0,5,0.41
256,1L Fallen,Vanguard,67.20,84,19,0,2,0.8
257,LVS_Soda,Vanguard,66.40,83,10,0,2,0.8
258,LVS_Falcon,Vanguard,66.40,83,11,0,2,0.8
259,Medic x Frieren,Vanguard,66.40,83,12,0,2,0.8
260,XEL.Bpsword.Twitch,Ascendant,65.92,103,14,0,3,0.64
261,CJtoSmooth,Ascendant,65.92,103,19,0,3,0.64
262,100T sheppyk9,Tendies (Lowest Skill),65.67,199,44,0,6,0.33
263,iiNovationii,Tendies (Lowest Skill),65.67,199,18,0,6,0.33
264,RAGNA_Viper,Tendies (Lowest Skill),65.67,199,43,0,6,0.33
265,DWE TTV Teach Da Youth,Challengers,65.19,159,21,0,5,0.41
266,JEK,Emergent,64.77,127,32,0,4,0.51
267,TsF MonTy,Tendies (Lowest Skill),64.68,196,27,0,6,0.33
268,Doctor Eloc,Tendies (Lowest Skill),64.68,196,49,0,6,0.33
269,[DAD] Nars Lootbaar,Tendies (Lowest Skill),64.68,196,20,0,6,0.33
270,PRDX_kraknn,Challengers,63.96,156,30,0,5,0.41
271,PRDX_Ayywire,Challengers,63.96,156,26,0,5,0.41
272,PRDX_Jokr,Challengers,63.96,156,32,0,5,0.41
273,laceycs,Emergent,63.24,124,20,0,4,0.51
274,Sleeping,Vanguard,63.20,79,7,0,2,0.8
275,Penguinii,Vanguard,63.20,79,18,0,2,0.8
276,ChaosGoesLive,Emergent,62.73,123,31,0,4,0.51
277,RBD yonewdaddy,Challengers,62.73,153,23,0,5,0.41
278,RBD Hound,Challengers,62.73,153,13,0,5,0.41
279,the-optimistic-stoic,Ascendant,62.72,98,16,0,3,0.64
280,Hurt,Tendies (Lowest Skill),62.37,189,29,0,6,0.33
281,YoTakeItEezy,Tendies (Lowest Skill),62.37,189,16,0,6,0.33
282,uFears,Tendies (Lowest Skill),62.37,189,66,0,6,0.33
283,Figgy14,Challengers,62.32,152,25,0,5,0.41
284,MaschidezinTV,Challengers,62.32,152,14,0,5,0.41
